img_augmentation_128_4,cpu,413677064,418987847,411070946,347146,178140,1143428,207299,1772265,0,,0
img_augmentation_128_4,dtu,0,10285609,9185819,175749,86735,203162,99175,783556,1376720,,0
img_augmentation_128_8,cpu,826464705,837407969,822128359,748752,354706,2281847,413458,3586396,0,,0
img_augmentation_128_8,dtu,0,19421782,17459206,355233,175493,376555,185390,1587094,2752992,,0
img_augmentation_128_16,cpu,1613483229,1640583153,1647154964,1533933,701152,4643309,872071,7143148,0,,0
img_augmentation_128_16,dtu,0,37469541,34040861,709204,345656,724510,358414,3130357,5505568,,0
img_augmentation_128_32,cpu,3296363879,3396615352,3345408939,4158558,1426041,10123151,2149246,15566894,48,,0
img_augmentation_128_32,dtu,0,71159140,67087344,1388256,690358,1417073,702836,6222978,11010544,,0
img_augmentation_128_64,cpu,7101771562,7306498781,6738418388,8180204,2874707,22062826,5145860,31177822,144,,0
img_augmentation_128_64,dtu,0,246029653,227048187,2924607,1426655,4310043,2299861,12961494,22021632,,0
img_augmentation_256_4,cpu,1610745350,1637848806,1646786657,1826405,702962,5060377,882458,7450082,48,,0
img_augmentation_256_4,dtu,0,38689261,34041281,708873,345721,724396,358338,3130505,5505568,,0
img_augmentation_256_8,cpu,3295099363,3395310970,3344673890,5222020,1429492,10865356,2126021,16657939,128,,0
img_augmentation_256_8,dtu,0,74423150,67132725,1388461,690323,1418297,703408,6222881,11010640,,0
img_augmentation_256_16,cpu,6654700733,6858676991,6736066133,10694746,2888850,22908092,4991395,33805495,176,,0
img_augmentation_256_16,dtu,0,250031691,227045197,2931898,1431954,4271755,2273683,13010504,22032480,,0
img_augmentation_256_32,cpu,13382633887,13797299736,13526796930,20795280,5804341,47687133,11247766,67229982,96,,0
img_augmentation_256_32,dtu,0,497742787,453696086,5860218,2872083,8597857,4581163,26081968,44078304,,0
img_augmentation_256_64,cpu,27137729174,27988710723,27057035982,31866411,11885122,95523797,22811055,126947355,224,,0
img_augmentation_256_64,dtu,0,1008540453,909692576,11671864,5708054,17401100,9473093,51830589,88091264,,0
img_augmentation_128_4,cpu,414606081,419906024,411089732,347965,178057,1144588,207521,1772404,16,,0
img_augmentation_128_4,dtu,0,10306825,9182316,175793,86894,203317,99336,784879,1376768,,0
img_augmentation_128_8,cpu,827562123,838449676,822130106,749151,354370,2285382,414199,3584111,0,,0
img_augmentation_128_8,dtu,0,19471983,17487961,355453,175488,377675,185975,1587259,2753104,,0
img_augmentation_128_16,cpu,1635009691,1662075853,1647182565,1536766,701107,4636627,871095,7145621,16,,0
img_augmentation_128_16,dtu,0,37393005,34002972,708975,345180,723028,357666,3126283,5505536,,0
img_augmentation_128_32,cpu,3288438113,3388789590,3345398161,4153509,1425261,10122588,2148013,15555572,144,,0
img_augmentation_128_32,dtu,0,71561715,67104299,1388121,689973,1417997,703203,6219733,11010624,,0
img_augmentation_128_64,cpu,6831097518,7036112844,6737876430,8162133,2874512,21592840,5131065,31158208,112,,0
img_augmentation_128_64,dtu,0,246483967,227066472,2932753,1435898,4330882,2325626,13042624,22036720,,0
img_augmentation_256_4,cpu,1610954710,1638078228,1646811708,1828378,703152,5062838,880436,7453619,32,,0
img_augmentation_256_4,dtu,0,38744735,34037378,708773,345486,723996,358016,3128562,5505568,,0
img_augmentation_256_8,cpu,3290761879,3391435318,3344653844,5224610,1429081,10825373,2130733,16657212,176,,0
img_augmentation_256_8,dtu,0,73906947,67132049,1388509,690668,1418479,703452,6225679,11010688,,0
img_augmentation_256_16,cpu,7031233158,7235455127,6736716255,10687024,2889497,23072695,4993521,33802971,16,,0
img_augmentation_256_16,dtu,0,249484352,227002230,2921191,1426195,4261166,2262024,12954374,22021696,,0
img_augmentation_256_32,cpu,13380894436,13796085234,13526733083,20791467,5804345,47564097,11211760,67226189,144,,0
