benchmark,type,transform_cost,cycle,instret,LLCRefill,LLCWB,L1Refill,L1WB,RegularDRAMAccess,DTUDramAccess,hash
dbcolproj_83690_5_64,cpu,0,5377005,4777155,353910,34141,280197,26861,627039,0,857656862
dbcolproj_83690_5_64,col,0,3932269,5195605,53157,16336,53579,26106,183851,0,857656862
dbcolproj_83690_5_64,dtu,0,2503509,1052963,52455,24554,53346,26222,222722,418496,857656862
dbcolproj_83690_6_64,cpu,0,6328741,5620847,376810,39339,369709,32454,691514,0,1028292886
dbcolproj_83690_6_64,col,0,5176771,6131425,64377,21220,64823,31528,234144,0,1028292886
dbcolproj_83690_6_64,dtu,0,3007853,1262188,63273,29441,64111,31571,267412,502208,1028292886
dbcolproj_83690_7_64,cpu,0,6586374,6457747,382727,44315,375733,37674,737247,0,1199800837
dbcolproj_83690_7_64,col,0,9914745,9535959,78349,27634,114310,58390,299432,0,1199800837
dbcolproj_83690_7_64,dtu,0,6321023,3964133,77287,35837,112736,58521,327348,585904,1199800837
dbcolproj_83690_8_64,cpu,0,10785821,10145130,399241,52922,476816,97649,822612,0,1371400385
dbcolproj_83690_8_64,col,0,12131570,10838315,89436,33288,129449,65769,355752,0,1371400385
dbcolproj_83690_8_64,dtu,0,7266488,4529068,90799,42888,130134,68646,391849,673136,1371400385
dbcolproj_83690_1_64,cpu,0,1849471,1422763,89613,6376,89959,5345,140629,0,171348942
dbcolproj_83690_1_64,col,0,623934,1506453,10827,4002,10547,5013,42834,0,171348942
dbcolproj_83690_1_64,dtu,0,518440,216063,10671,5241,10760,5420,47355,83760,171348942
dbcolproj_83690_2_64,cpu,0,3807085,2266455,279436,19225,179496,10917,433237,0,343055996
